split,image,color_norm,noise,denoise,psnr,ssim,rmse,mse
train,100075,none,none,none,inf,1.0,0.0,0.0
train,100075,none,none,gaussian,30.80661859792437,0.8486623157885324,7.348678548211615,54.00307640494557
train,100075,none,none,median,31.216700977376828,0.8620498056776644,7.009792002112819,49.13718391288485
train,100075,none,none,nlmeans,28.05414499851089,0.6787116060145393,10.088647095161312,101.78080021070676
train,100075,none,gaussian,none,26.01752220160965,0.6536201463920586,12.754518567290235,162.67774388335135
train,100075,none,gaussian,gaussian,29.81443399126649,0.802134798164421,8.237937275507708,67.86361055519934
train,100075,none,gaussian,median,28.923088302635843,0.7555449541953635,9.128212996594042,83.3242725111884
train,100075,none,gaussian,nlmeans,28.404587516861397,0.711077456006692,9.68971056215516,93.89049077834125
train,100075,none,saltpepper,none,19.429559978878647,0.47257192655837965,27.23091167383074,741.5225505879712
train,100075,none,saltpepper,gaussian,27.243423319707777,0.6879538891775571,11.075644675939275,122.669904987662
train,100075,none,saltpepper,median,30.937336361315285,0.8558946302755586,7.238913087075747,52.40186268223651
train,100075,none,saltpepper,nlmeans,20.588854422989392,0.4689553158111246,23.828541416006544,567.7993860143392
train,100075,reinhard,none,none,51.265669178237864,0.9978084778942523,0.697038427903885,0.4858625699747195
train,100075,reinhard,none,gaussian,30.809955773690714,0.8486730484269743,7.3458556800332016,53.96159567187605
train,100075,reinhard,none,median,31.20260978701042,0.8613011819203439,7.021173274936835,49.29687415668724
train,100075,reinhard,none,nlmeans,28.061648083616074,0.6788848096480082,10.079936036617829,101.60511050230676
train,100075,reinhard,gaussian,none,26.018029071637827,0.6544597049774564,12.753774291824207,162.65875868679606
train,100075,reinhard,gaussian,gaussian,29.8231387871446,0.8029248740626956,8.229685542570463,67.72772412959328
train,100075,reinhard,gaussian,median,28.90545432248934,0.755719854300132,9.14676380029725,83.6632880184282
train,100075,reinhard,gaussian,nlmeans,28.428626503357272,0.7124575906244995,9.662930485545637,93.37222556848725
train,100075,reinhard,saltpepper,none,19.354770184856076,0.4660016670303657,27.466395616289947,754.4028881505517
train,100075,reinhard,saltpepper,gaussian,27.194068923835864,0.6862666784005463,11.138757118997717,124.07191015602231
train,100075,reinhard,saltpepper,median,30.942399612569588,0.855748711528415,7.234694549136812,52.34080521930989
train,100075,reinhard,saltpepper,nlmeans,20.525172763626234,0.46542564933852604,24.00388526591904,576.1865078594051
train,100075,gray_world,none,none,30.14478203007828,0.9942728497567646,7.930509303245641,62.89297780886566
train,100075,gray_world,none,gaussian,27.51876166658695,0.8452476752025883,10.730058682089078,115.1341593210752
train,100075,gray_world,none,median,27.669509423481884,0.8580239069276804,10.5454401024315,111.20630695397051
train,100075,gray_world,none,nlmeans,26.11826310393873,0.6714607039117423,12.607443345658265,158.94762771398285
train,100075,gray_world,gaussian,none,24.581623087023395,0.6499981564572149,15.047315468067206,226.42170279553457
train,100075,gray_world,gaussian,gaussian,26.996966413889982,0.7982960886527649,11.39441045420713,129.83258959894474
train,100075,gray_world,gaussian,median,26.481748329393767,0.7513772950000547,12.090736709035665,146.1859141672226
train,100075,gray_world,gaussian,nlmeans,26.219365622069937,0.703279068580864,12.46154526467598,155.29011038356833
train,100075,gray_world,saltpepper,none,19.016064922445956,0.46198071471784957,28.55860135952745,815.5937116124032
train,100075,gray_world,saltpepper,gaussian,25.58130699404627,0.6857071776179101,13.411422080850643,179.8662422307282
train,100075,gray_world,saltpepper,median,27.557414332188273,0.8526512851622498,10.68241544284058,114.11399969343894
train,100075,gray_world,saltpepper,nlmeans,19.897687960041644,0.45138351271497584,25.80214327280243,665.7505974702236
train,100075,hist_match,none,none,inf,1.0,0.0,0.0
train,100075,hist_match,none,gaussian,30.80661859792437,0.8486623157885324,7.348678548211615,54.00307640494557
train,100075,hist_match,none,median,31.216700977376828,0.8620498056776644,7.009792002112819,49.13718391288485
train,100075,hist_match,none,nlmeans,28.05414499851089,0.6787116060145393,10.088647095161312,101.78080021070676
train,100075,hist_match,gaussian,none,26.017903818401024,0.6542117440056157,12.753958206552111,162.66344993447797
train,100075,hist_match,gaussian,gaussian,29.80537323985443,0.8022903766455292,8.24653522575647,68.00534322964229
train,100075,hist_match,gaussian,median,28.89984506722321,0.7544406822795633,9.152672590913667,83.77141555646229
train,100075,hist_match,gaussian,nlmeans,28.400336662543346,0.7109036725816272,9.694453844694984,93.98243534692133
train,100075,hist_match,saltpepper,none,19.275769617475515,0.4606557928835921,27.717349595128525,768.2514685785713
train,100075,hist_match,saltpepper,gaussian,27.1311458927118,0.6853181522492845,11.219742398978772,125.88261949944193
train,100075,hist_match,saltpepper,median,30.965724002861805,0.8566027208831971,7.21529314270886,52.06045513522149
train,100075,hist_match,saltpepper,nlmeans,20.449742931167954,0.4639110791809838,24.213247087775546,586.2813345336709
train,100080,none,none,none,inf,1.0,0.0,0.0
train,100080,none,none,gaussian,36.721540949853555,0.9412785464827035,3.7193164671546426,13.833314982847693
train,100080,none,none,median,37.66895764394428,0.9504833313636576,3.334972815899906,11.122043682791347
train,100080,none,none,nlmeans,33.41161955869599,0.8566950452346361,5.444515048196105,29.64274411003383
train,100080,none,gaussian,none,26.012530324367322,0.42721516377639657,12.761850837532002,162.86483679941625
train,100080,none,gaussian,gaussian,33.73913481639701,0.8367606507105201,5.243043242504631,27.48950244277347
train,100080,none,gaussian,median,31.977038412593956,0.7469056127806643,6.422265562539074,41.24549495577533
train,100080,none,gaussian,nlmeans,33.52898651575767,0.8666171524899041,5.37144155471777,28.852384375748862
train,100080,none,saltpepper,none,19.572721876149895,0.32127103902197374,26.78576699298616,717.477313402547
train,100080,none,saltpepper,gaussian,29.199654054079673,0.6543502236293463,8.842141848737334,78.1834724731921
train,100080,none,saltpepper,median,37.35100734510736,0.9477718122154778,3.4593126355923864,11.966843910769144
train,100080,none,saltpepper,nlmeans,21.10215628582813,0.38204727892566614,22.461169548685387,504.5041374947917
train,100080,reinhard,none,none,29.014683048649307,0.973326406523551,9.032459605218612,81.58532651990596
train,100080,reinhard,none,gaussian,28.44150824942348,0.9275705024122861,9.648610345070875,93.0956815910087
train,100080,reinhard,none,median,28.50474106557208,0.9314616628802552,9.578624030628395,91.75003832013178
train,100080,reinhard,none,nlmeans,27.661991863676995,0.8571337330532948,10.554571037334835,111.39896978214735
train,100080,reinhard,gaussian,none,24.19265759328948,0.4263228092112008,15.7364693703494,247.63646824394488
train,100080,reinhard,gaussian,gaussian,27.663624888419847,0.8264269553089507,10.55258687034393,111.35708965615508
train,100080,reinhard,gaussian,median,27.104760621351254,0.7374848203673755,11.253876615788167,126.64973888338375
train,100080,reinhard,gaussian,nlmeans,27.286241226115997,0.8618646511903557,11.021180601441907,121.46642184959941
train,100080,reinhard,saltpepper,none,19.165526025447974,0.3175464019655789,28.071387492435413,788.0027957504593
train,100080,reinhard,saltpepper,gaussian,26.773432542988434,0.6516791905275109,11.691454754202041,136.69011426955353
train,100080,reinhard,saltpepper,median,28.46321276426778,0.92863043745777,9.62453025851149,92.63158269700325
train,100080,reinhard,saltpepper,nlmeans,20.54171689609756,0.3859621080555364,23.95820825285838,573.9957426873315
train,100080,gray_world,none,none,29.125154811394765,0.9943659719758268,8.918307444075293,79.53620766704879
train,100080,gray_world,none,gaussian,28.447347052481312,0.9372963280786596,9.642126564243236,92.97060468088506
train,100080,gray_world,none,median,28.56955941269768,0.9458267664263212,9.507409712301685,90.3908394375684
train,100080,gray_world,none,nlmeans,27.817916673527513,0.8521768797496708,10.366791089293208,107.47035748904908
train,100080,gray_world,gaussian,none,24.27437804439668,0.425458413846769,15.589108445121552,243.02030211376007
train,100080,gray_world,gaussian,gaussian,27.81279424416116,0.8320980061180706,10.372906619074175,107.59719172803285
train,100080,gray_world,gaussian,median,27.30514449790231,0.7438542246000085,10.997221071434886,120.93887129401148
train,100080,gray_world,gaussian,nlmeans,27.686902039939802,0.862316318172148,10.524345051443285,110.76183876183876
train,100080,gray_world,saltpepper,none,19.15268302297162,0.3170906760219087,28.112924695829093,790.3365349533574
train,100080,gray_world,saltpepper,gaussian,26.247030046215922,0.6499623297476318,12.42191857445605,154.30406107041622
train,100080,gray_world,saltpepper,median,28.53056322528608,0.9430203083950749,9.550190159606078,91.20613208463676
train,100080,gray_world,saltpepper,nlmeans,20.33121055520537,0.37282991869941956,24.54593911706458,602.5031271386412
train,100080,hist_match,none,none,21.995348180833545,0.841872095717012,20.266220866399575,410.7197082056895
train,100080,hist_match,none,gaussian,22.285293687771578,0.8457447911822701,19.600876668787556,384.1943661850204
train,100080,hist_match,none,median,21.929292215253355,0.8254540341634004,20.420932494143646,417.0144839303718
train,100080,hist_match,none,nlmeans,22.539122596233952,0.8234394768384156,19.036366197852782,362.383238018752
train,100080,hist_match,gaussian,none,20.5099268304412,0.38852518216527915,24.046055154303303,578.2127684837965
train,100080,hist_match,gaussian,gaussian,22.078978538490862,0.7589216984294772,20.072027970975313,402.8863068676153
train,100080,hist_match,gaussian,median,21.726850040442297,0.6720586888806753,20.902473350884105,436.9133921844202
train,100080,hist_match,gaussian,nlmeans,22.347616626782433,0.8259245764632297,19.460739940904144,378.72039904750187
train,100080,hist_match,saltpepper,none,17.680454384964715,0.29468669184715424,33.305615285058856,1109.264009516346
train,100080,hist_match,saltpepper,gaussian,22.023661863034505,0.6067366507986353,20.200265950971954,408.0507444899968
train,100080,hist_match,saltpepper,median,21.91586843214734,0.8223530951148889,20.452516835659164,418.30544491292153
train,100080,hist_match,saltpepper,nlmeans,19.017611014424503,0.3741812877319948,28.553518368974014,815.3034112473365
train,100098,none,none,none,inf,1.0,0.0,0.0
train,100098,none,none,gaussian,24.27203354793136,0.8162655991621919,15.593316827246671,243.15152967489416
train,100098,none,none,median,25.456658645309787,0.8386781979023786,13.605272609065729,185.10344276699416
train,100098,none,none,nlmeans,27.19842656209906,0.847845936682012,11.133170299159971,123.94748091009774
train,100098,none,gaussian,none,26.38398584060831,0.8239659282074902,12.227590571989815,149.5139711962142
train,100098,none,gaussian,gaussian,23.893640186200518,0.7911815650666995,16.287640353282683,265.2872282778825
train,100098,none,gaussian,median,24.582218009673053,0.7824889264860929,15.046284867565214,226.39068831592195
train,100098,none,gaussian,nlmeans,26.473408742142812,0.8494956399562351,12.102350968395605,146.46689896222605
train,100098,none,saltpepper,none,18.646629246664983,0.6651326613386486,29.799482222024086,888.0091407007295
train,100098,none,saltpepper,gaussian,22.76691254431542,0.7198968028341409,18.54362145886887,343.86589680982206
train,100098,none,saltpepper,median,25.042275026853773,0.8313608350459972,14.270080698436013,203.63520313987604
train,100098,none,saltpepper,nlmeans,18.781265070114735,0.6449962960531646,29.341136170743667,860.9022717901223
train,100098,reinhard,none,none,13.115273576496849,0.7363989539699931,56.33476689488729,3173.6059611012884
train,100098,reinhard,none,gaussian,12.764601507738071,0.5419181515170316,58.65568419781316,3440.489288713588
train,100098,reinhard,none,median,12.940166631900258,0.5733083757018195,57.481997152807104,3304.1799966753238
train,100098,reinhard,none,nlmeans,12.583381101665271,0.41696529246309993,59.89231848704277,3587.089813753365
train,100098,reinhard,gaussian,none,12.861773861370347,0.5618743829424954,58.00313768067408,3364.363980803233
train,100098,reinhard,gaussian,gaussian,12.709802043314921,0.521136542536183,59.02691398717599,3484.176574849472
train,100098,reinhard,gaussian,median,12.774198218251907,0.516535601827806,58.590913541630435,3432.895149642813
train,100098,reinhard,gaussian,nlmeans,12.607925063624512,0.44975272862199206,59.723317970125294,3566.8747093606908
train,100098,reinhard,saltpepper,none,12.176797023466992,0.4453363529537446,62.76251371141948,3939.133127376118
train,100098,reinhard,saltpepper,gaussian,12.664980958749531,0.4683647675923613,59.332292968110536,3520.320988853699
train,100098,reinhard,saltpepper,median,12.930628017202778,0.5710931635087829,57.54515703849704,3311.4450985852855
train,100098,reinhard,saltpepper,nlmeans,12.190210520946895,0.40107457103592753,62.665665242347615,3926.985600265974
train,100098,gray_world,none,none,33.59238118516246,0.9971051385129228,5.332380372242816,28.434280434280435
train,100098,gray_world,none,gaussian,23.77546144056209,0.8132261060953203,16.510761667153634,272.6052508295499
train,100098,gray_world,none,median,24.843403310621603,0.8342289135862497,14.600576862218663,213.17684470955498
train,100098,gray_world,none,nlmeans,26.439757144095438,0.8438149164710805,12.149329851856296,147.6062158492065
train,100098,gray_world,gaussian,none,25.60912525553279,0.8182824100418645,13.36853808572898,178.71781054958626
train,100098,gray_world,gaussian,gaussian,23.465371333623324,0.7874725382017479,17.110851167287912,292.78122766907813
train,100098,gray_world,gaussian,median,24.04424663580241,0.7775627724338695,16.007659898980773,256.24517544143714
train,100098,gray_world,gaussian,nlmeans,25.916727875674987,0.8493665386160787,12.903388894578613,166.49744496473468
train,100098,gray_world,saltpepper,none,18.471239080540386,0.6600036818579927,30.407325730522466,924.6054580820936
train,100098,gray_world,saltpepper,gaussian,22.38411555102576,0.7141253367308315,19.379135657968966,375.55089884996426
train,100098,gray_world,saltpepper,median,24.51339553690763,0.8274668826507755,15.165977369041252,230.00686955827143
train,100098,gray_world,saltpepper,nlmeans,18.539986241733082,0.6381591769842814,30.16760745581101,910.084539607904
train,100098,hist_match,none,none,13.800198721329963,0.6900912134138416,52.06312644199279,2710.5691349149292
train,100098,hist_match,none,gaussian,14.14061537090587,0.5804025938991278,50.06214017153409,2506.217878554327
train,100098,hist_match,none,median,13.331265256942398,0.5332665646111509,54.9511666964735,3019.6307213036184
train,100098,hist_match,none,nlmeans,13.466864420118686,0.4765328085780969,54.099961921681384,2926.8058799273754
train,100098,hist_match,gaussian,none,13.50901732940625,0.5470398812846669,53.83804906959055,2898.5355276196397
train,100098,hist_match,gaussian,gaussian,14.010831817445375,0.5612298369536423,50.81577922370744,2582.243418112577
train,100098,hist_match,gaussian,median,13.359327834828083,0.49673497601011024,54.77391565372745,3000.181836041649
train,100098,hist_match,gaussian,nlmeans,13.451344977648116,0.5067309665757839,54.19671099448685,2937.2834826199314
train,100098,hist_match,saltpepper,none,12.716566742471283,0.44360415358541055,58.98096085144214,3478.7537429593503
train,100098,hist_match,saltpepper,gaussian,13.985356546482565,0.5112346368849283,50.96503808774771,2597.4351072855748
train,100098,hist_match,saltpepper,median,13.326618908087607,0.5307233332591369,54.980569625031556,3022.863036292943
train,100098,hist_match,saltpepper,nlmeans,12.870918846015321,0.43085821037407784,57.94210090880646,3357.28705772631
