split,color_norm,noise,denoise,psnr,ssim,rmse,mse
test,gray_world,gaussian,gaussian,22.74625767856679,0.7825816799403478,20.154213935137882,471.30580859795816
test,gray_world,gaussian,median,22.672965376678732,0.7396314989007803,20.300660336855167,478.16869735299645
test,gray_world,gaussian,nlmeans,23.671771531352306,0.778495024862653,18.35101693518091,403.83055584700446
test,gray_world,gaussian,none,22.269761268060734,0.6387797262355845,20.778687901846308,488.2264124368797
test,gray_world,none,gaussian,23.009362584292948,0.8366048352868376,19.74761799889131,458.43958951043066
test,gray_world,none,median,23.34744739745954,0.8505239061978912,19.243724900051905,443.33954797356665
test,gray_world,none,nlmeans,23.959446809037683,0.784874707195709,17.86497299743486,385.9045968614193
test,gray_world,none,none,26.105219830923843,0.976258912333629,15.490007015767821,332.02715276023685
test,gray_world,saltpepper,gaussian,21.879023018565835,0.6667554326368139,21.75465363393805,529.6225881956723
test,gray_world,saltpepper,median,23.22170887164202,0.845272670912646,19.463811135671566,451.2555340962818
test,gray_world,saltpepper,nlmeans,18.448537692272545,0.49909235209943653,30.872177744198375,979.6454095504563
test,gray_world,saltpepper,none,17.903839693355216,0.49005523062505824,32.8425781272312,1107.0023527049696
test,hist_match,gaussian,gaussian,11.538174022994994,0.5523331834774629,71.85230636713541,5576.093824867283
test,hist_match,gaussian,median,11.350619981777372,0.5028982197176537,73.32984429638711,5806.076580419384
test,hist_match,gaussian,nlmeans,11.43554394107008,0.5046302993140055,72.54330782501873,5681.364832740721
test,hist_match,gaussian,none,11.261637246975894,0.4224437502089316,73.29446969960215,5773.543271524581
test,hist_match,none,gaussian,11.531815172761686,0.5875696180394004,72.143127327626,5623.765767276982
test,hist_match,none,median,11.346793690405582,0.5678597961323526,74.00109378589372,5921.047089159612
test,hist_match,none,nlmeans,11.396331144634336,0.5064140221087837,72.86506796855558,5731.484808431724
test,hist_match,none,none,inf,0.6434302231352439,72.31119419928727,5674.397864176181
test,hist_match,saltpepper,gaussian,11.553561284919958,0.47343545265126763,71.16073009652138,5458.992892748967
test,hist_match,saltpepper,median,11.335312570677456,0.5646120114736257,74.01783902696617,5921.948034490277
test,hist_match,saltpepper,nlmeans,10.797906746008234,0.3160056761939053,75.96644191453339,6100.597182833444
test,hist_match,saltpepper,none,10.690788191602108,0.33111925814960147,76.86000350689392,6239.401048697871
test,none,gaussian,gaussian,27.23385749572729,0.7960159452178065,11.724725650575726,151.62017353082774
test,none,gaussian,median,27.035857783790707,0.7537966192917129,11.85347478481509,152.61370271781487
test,none,gaussian,nlmeans,28.701194367398852,0.7872907524380272,9.554021299004352,94.7299232086148
test,none,gaussian,none,26.14418589780965,0.6544232796167171,12.57099403308258,158.05785316589055
test,none,none,gaussian,27.99418071994342,0.851269817436402,10.973313907219852,136.44233444083912
test,none,none,median,28.87674417292934,0.8671051379731415,10.061192477740546,117.43288242951795
test,none,none,nlmeans,29.21744469561889,0.7919852953657249,9.045559646583584,85.80419647541143
test,none,none,none,inf,1.0,0.0,0.0
test,none,saltpepper,gaussian,25.29095211447455,0.6780364496377218,14.245197064967279,213.64502656502657
test,none,saltpepper,median,28.555384158357974,0.861899828962439,10.410485221501908,125.224134558714
test,none,saltpepper,nlmeans,19.939041960724968,0.5105458005258605,25.725195980183717,664.1208620842266
test,none,saltpepper,none,19.18651379727244,0.5017714961294707,28.022459299333697,786.3122871829414
